epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2855,2.56289,4.26326,1.23755,0.00222,0.00045,0.00134,0.00048,2.8471,4.41023,1.63515,0.00018577,0.00018577,0.00018577
2,216.505,2.42052,3.65081,1.12347,0.00986,0.0104,0.0079,0.00326,2.49244,4.19317,1.29866,0.00038201,0.00038201,0.00038201
3,284.919,2.38257,3.19236,1.09845,0.01351,0.03162,0.01293,0.00434,2.32048,4.03756,1.19306,0.000574289,0.000574289,0.000574289
4,380.118,2.46211,2.8356,1.13336,0.01098,0.02393,0.00948,0.00338,2.42022,4.03095,1.22983,0.000762607,0.000762607,0.000762607
5,519.987,2.48137,2.85258,1.09505,0.01191,0.03782,0.01531,0.00627,2.41876,3.85546,1.19235,0.000946964,0.000946964,0.000946964
6,662.968,2.43968,2.66727,1.1168,0.00989,0.04423,0.01479,0.00568,2.52062,3.78058,1.1928,0.00112736,0.00112736,0.00112736
7,803.807,2.42192,2.53656,1.14039,0.0363,0.12988,0.04337,0.01656,2.5384,3.35397,1.17947,0.00130379,0.00130379,0.00130379
8,944.38,2.393,2.56529,1.15241,0.06842,0.10567,0.05066,0.02094,2.51507,3.07261,1.29885,0.00132997,0.00132997,0.00132997
9,1090.28,2.44009,2.41022,1.14408,0.08141,0.04032,0.04475,0.02106,2.80909,5.02043,1.5468,0.00131582,0.00131582,0.00131582
10,1243.07,2.48443,2.25436,1.12717,0.01059,0.00538,0.00522,0.00106,2.85847,17.6816,1.65505,0.00130168,0.00130168,0.00130168
11,1392.97,2.33191,2.18612,1.11737,7e-05,0.00064,4e-05,1e-05,3.0132,81.806,1.81659,0.00128753,0.00128753,0.00128753
12,1541.31,2.31533,2.09762,1.12935,0.09251,0.02867,0.04772,0.02369,2.41776,15.5929,1.2326,0.00127338,0.00127338,0.00127338
13,1691.61,2.40114,2.12078,1.14547,0.48885,0.10769,0.12538,0.05236,2.29879,3.12763,1.21337,0.00125923,0.00125923,0.00125923
14,1846.71,2.28743,2.20523,1.14354,0.48885,0.10769,0.12538,0.05236,2.29879,3.12763,1.21337,0.00124509,0.00124509,0.00124509
15,1996.05,2.3437,2.03535,1.11524,0.36747,0.13335,0.13948,0.05773,2.3191,2.60147,1.20828,0.00123094,0.00123094,0.00123094
16,2144.44,2.34484,2.07889,1.0888,0.31798,0.14374,0.14096,0.05782,2.3177,2.48204,1.17984,0.00121679,0.00121679,0.00121679
17,2296.38,2.29086,1.99875,1.09642,0.28641,0.15657,0.15478,0.06406,2.26908,2.32248,1.16068,0.00120265,0.00120265,0.00120265
18,2391.62,2.23334,2.0038,1.10148,0.30781,0.27886,0.22282,0.09011,2.2522,2.28924,1.1645,0.0011885,0.0011885,0.0011885
19,2452.97,2.24463,1.90329,1.12897,0.2873,0.39238,0.26747,0.10398,2.25384,2.17399,1.1568,0.00117435,0.00117435,0.00117435
20,2517.29,2.32456,1.84676,1.08931,0.28024,0.4027,0.2738,0.10933,2.25901,2.14616,1.16618,0.00116021,0.00116021,0.00116021
21,2578.51,2.24579,1.96596,1.09605,0.30136,0.38341,0.27522,0.1076,2.23281,2.10646,1.17267,0.00114606,0.00114606,0.00114606
22,2641.66,2.27119,1.91267,1.13011,0.30136,0.38341,0.27522,0.1076,2.23281,2.10646,1.17267,0.00113191,0.00113191,0.00113191
23,2702.87,2.19498,1.78914,1.10492,0.31916,0.39005,0.29227,0.11303,2.24135,1.98833,1.17166,0.00111776,0.00111776,0.00111776
24,2764.66,2.26024,1.80801,1.10498,0.32977,0.41102,0.31335,0.11809,2.2192,1.96319,1.15408,0.00110362,0.00110362,0.00110362
25,2826.26,2.18122,1.71131,1.08784,0.33176,0.43805,0.33109,0.12573,2.21698,1.88543,1.15745,0.00108947,0.00108947,0.00108947
26,2885.03,2.20024,1.7832,1.09827,0.31429,0.43717,0.32487,0.12635,2.2166,1.85022,1.15351,0.00107532,0.00107532,0.00107532
27,2943.5,2.17022,1.69513,1.09891,0.31302,0.44118,0.32261,0.12755,2.19128,1.88797,1.13779,0.00106118,0.00106118,0.00106118
28,3001.58,2.11616,1.72255,1.0788,0.32461,0.42589,0.33036,0.12536,2.19888,1.83026,1.14019,0.00104703,0.00104703,0.00104703
29,3057.48,2.13195,1.66146,1.09453,0.3891,0.38878,0.32675,0.12677,2.22194,1.7852,1.14718,0.00103288,0.00103288,0.00103288
30,3116.13,2.20507,1.66952,1.08968,0.3891,0.38878,0.32675,0.12677,2.22194,1.7852,1.14718,0.00101873,0.00101873,0.00101873
31,3172.51,2.11026,1.63315,1.06304,0.33779,0.43084,0.33166,0.13426,2.18846,1.7039,1.13694,0.00100459,0.00100459,0.00100459
32,3228.31,2.13295,1.65824,1.09079,0.35185,0.42867,0.34178,0.14042,2.12932,1.63503,1.12375,0.00099044,0.00099044,0.00099044
33,3284.28,2.19474,1.70019,1.08619,0.34816,0.42441,0.33776,0.13466,2.19707,1.68305,1.1408,0.000976293,0.000976293,0.000976293
34,3341.07,2.1322,1.65962,1.08156,0.33329,0.43916,0.34426,0.13283,2.21257,1.68023,1.14884,0.000962146,0.000962146,0.000962146
35,3398.63,2.1742,1.69894,1.09349,0.34011,0.43173,0.35169,0.135,2.18568,1.64532,1.13852,0.000947999,0.000947999,0.000947999
36,3455.51,2.15778,1.65282,1.08994,0.40053,0.39591,0.35582,0.14074,2.18009,1.64158,1.13052,0.000933851,0.000933851,0.000933851
37,3511.28,2.15034,1.64952,1.07776,0.36458,0.41252,0.3473,0.13818,2.17529,1.6376,1.12588,0.000919704,0.000919704,0.000919704
38,3567.12,2.09894,1.62152,1.05801,0.36458,0.41252,0.3473,0.13818,2.17529,1.6376,1.12588,0.000905557,0.000905557,0.000905557
39,3624.75,2.16314,1.6634,1.08906,0.3711,0.42164,0.35675,0.14118,2.16101,1.61446,1.14174,0.00089141,0.00089141,0.00089141
40,3681.3,2.07024,1.63769,1.08362,0.37343,0.45386,0.35782,0.14089,2.15046,1.59929,1.14026,0.000877263,0.000877263,0.000877263
41,3736.34,2.1423,1.63505,1.06541,0.38006,0.43826,0.35419,0.14167,2.15688,1.63578,1.12898,0.000863116,0.000863116,0.000863116
42,3790.49,2.04709,1.70445,1.06733,0.36525,0.44519,0.36083,0.14446,2.16363,1.59575,1.12911,0.000848969,0.000848969,0.000848969
43,3846.12,2.10384,1.61333,1.06621,0.3732,0.45107,0.36987,0.15193,2.12333,1.59176,1.12222,0.000834822,0.000834822,0.000834822
44,3901.28,2.11039,1.6136,1.05764,0.39412,0.44745,0.37883,0.15496,2.11881,1.60412,1.11641,0.000820675,0.000820675,0.000820675
45,3955.84,2.13807,1.61658,1.05102,0.395,0.43395,0.37372,0.15453,2.12279,1.58251,1.1201,0.000806528,0.000806528,0.000806528
46,4010.19,2.05946,1.64725,1.04412,0.395,0.43395,0.37372,0.15453,2.12279,1.58251,1.1201,0.00079238,0.00079238,0.00079238
47,4064.35,2.0533,1.5457,1.04655,0.38744,0.44907,0.3767,0.15189,2.11608,1.55217,1.12638,0.000778233,0.000778233,0.000778233
