epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1076,2.61701,4.38623,1.38205,9e-05,0.00029,0.00014,4e-05,2.78786,4.50319,1.75932,7.5e-05,7.5e-05,7.5e-05
2,35.4073,2.44189,4.06861,1.14179,0.00128,0.12094,0.07338,0.04473,2.69516,4.3049,1.4301,0.000160891,0.000160891,0.000160891
3,51.7107,2.39005,3.66023,1.06525,0.00237,0.24359,0.22322,0.08399,2.76302,4.25866,1.31684,0.00024505,0.00024505,0.00024505
4,68.0469,2.3633,3.28096,1.06711,0.00281,0.24502,0.24048,0.13287,2.60993,4.10448,1.20612,0.000327476,0.000327476,0.000327476
5,84.0586,2.36379,2.90406,1.06482,0.00479,0.25586,0.24381,0.13511,2.57802,4.04137,1.18816,0.00040817,0.00040817,0.00040817
6,100.066,2.40666,2.70106,1.08808,0.00518,0.25652,0.23006,0.12357,2.59078,4.01028,1.19722,0.000487131,0.000487131,0.000487131
7,115.832,2.45977,2.54585,1.08245,0.00522,0.24018,0.22541,0.11358,2.49904,3.94432,1.18476,0.00056436,0.00056436,0.00056436
8,131.74,2.38398,2.26186,1.0742,0.00832,0.27319,0.24797,0.14332,2.49921,3.74597,1.1481,0.000639856,0.000639856,0.000639856
9,147.759,2.38553,2.19213,1.07079,0.01594,0.29282,0.24542,0.16833,2.41885,3.60005,1.15805,0.00071362,0.00071362,0.00071362
10,164.068,2.35216,2.05744,1.06564,0.02323,0.31736,0.22105,0.13896,2.39446,3.51805,1.14876,0.000785651,0.000785651,0.000785651
11,179.957,2.32281,1.99616,1.06391,1,0.17511,0.30498,0.19511,2.3625,3.19896,1.1584,0.00085595,0.00085595,0.00085595
12,195.791,2.32833,1.89843,1.07828,0.76821,0.23864,0.32042,0.16693,2.38321,2.98934,1.16262,0.000924516,0.000924516,0.000924516
13,212.632,2.34308,1.85147,1.09856,0.69683,0.27037,0.33807,0.18727,2.42116,2.68707,1.13336,0.00099135,0.00099135,0.00099135
14,228.264,2.30374,1.83109,1.09653,0.69683,0.27037,0.33807,0.18727,2.42116,2.68707,1.13336,0.00105645,0.00105645,0.00105645
15,246.194,2.36945,1.85448,1.06844,0.7475,0.29083,0.34388,0.22363,2.39277,2.41718,1.13955,0.00107675,0.00107675,0.00107675
16,262.447,2.30668,1.82076,1.06276,0.65079,0.29055,0.33399,0.23016,2.41992,2.46932,1.11211,0.00106437,0.00106437,0.00106437
17,279.46,2.32351,1.80335,1.07281,0.41566,0.36001,0.35171,0.2349,2.33583,2.08529,1.13405,0.001052,0.001052,0.001052
18,296.531,2.3085,1.73761,1.07114,0.39708,0.4009,0.35852,0.23052,2.32347,1.86488,1.1647,0.00103962,0.00103962,0.00103962
19,313.573,2.22983,1.72517,1.08557,0.40707,0.42068,0.36905,0.23519,2.28364,1.99123,1.14119,0.00102725,0.00102725,0.00102725
20,331.094,2.26647,1.61731,1.05195,0.42349,0.40995,0.37269,0.23956,2.27058,2.15621,1.13534,0.00101488,0.00101488,0.00101488
21,348.147,2.19582,1.69296,1.06068,0.41644,0.41439,0.3715,0.24542,2.30133,2.255,1.17277,0.0010025,0.0010025,0.0010025
22,365.453,2.27106,1.60258,1.07353,0.41644,0.41439,0.3715,0.24542,2.30133,2.255,1.17277,0.000990125,0.000990125,0.000990125
23,382.522,2.22458,1.6218,1.0881,0.40335,0.41296,0.3754,0.22875,2.29637,2.0926,1.16185,0.00097775,0.00097775,0.00097775
24,399.49,2.18921,1.58544,1.04579,0.42762,0.40984,0.37923,0.2445,2.30377,2.06415,1.13081,0.000965375,0.000965375,0.000965375
25,416.516,2.19278,1.61069,1.04233,0.69078,0.41893,0.38748,0.24271,2.27321,2.07275,1.12964,0.000953,0.000953,0.000953
26,433.575,2.12862,1.52961,1.04913,0.69697,0.42998,0.40314,0.26383,2.1976,2.04467,1.10777,0.000940625,0.000940625,0.000940625
27,450.385,2.1821,1.51629,1.02818,0.68371,0.43038,0.39844,0.24582,2.2539,1.97243,1.12608,0.00092825,0.00092825,0.00092825
28,467.357,2.12232,1.51006,1.0328,0.70887,0.4177,0.40121,0.25541,2.2042,1.94933,1.10071,0.000915875,0.000915875,0.000915875
29,484.305,2.06357,1.5106,1.04351,0.69216,0.43264,0.40124,0.25862,2.23817,1.89895,1.11634,0.0009035,0.0009035,0.0009035
30,501.579,2.16355,1.46931,1.04791,0.69216,0.43264,0.40124,0.25862,2.23817,1.89895,1.11634,0.000891125,0.000891125,0.000891125
31,518.623,2.13641,1.56212,1.06891,0.68412,0.42903,0.39947,0.25933,2.26699,1.81164,1.11872,0.00087875,0.00087875,0.00087875
32,535.151,2.07065,1.49472,1.04375,0.6815,0.42381,0.40554,0.26974,2.23326,1.77743,1.11211,0.000866375,0.000866375,0.000866375
33,551.786,2.10353,1.46869,1.02761,0.68412,0.43058,0.42043,0.27668,2.14456,1.78377,1.096,0.000854,0.000854,0.000854
