epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4879,2.65163,4.39543,1.35137,0.00023,0.00082,0.00012,4e-05,2.66864,4.51036,1.69302,7.5e-05,7.5e-05,7.5e-05
2,32.7321,2.63137,4.03186,1.2081,0.00023,0.00082,0.00012,4e-05,2.65862,4.39171,1.51939,0.000160891,0.000160891,0.000160891
3,48.5685,2.55314,3.33603,1.10543,0.00153,0.03761,0.02489,0.01205,2.61793,4.29236,1.40791,0.00024505,0.00024505,0.00024505
4,65.2643,2.52954,2.69601,1.06899,0.00824,0.14801,0.06759,0.04294,2.52675,4.08803,1.27716,0.000327476,0.000327476,0.000327476
5,80.5389,2.44202,2.33326,1.07092,0.99811,0.09259,0.21282,0.12449,2.51223,3.73214,1.1669,0.00040817,0.00040817,0.00040817
6,94.3382,2.33462,2.13153,1.07446,0.99371,0.22222,0.26805,0.17173,2.45296,3.37398,1.11134,0.000487131,0.000487131,0.000487131
7,107.586,2.31781,2.09922,1.06185,0.98884,0.23148,0.27997,0.16098,2.46736,3.25909,1.12158,0.00056436,0.00056436,0.00056436
8,141.646,2.32392,1.95736,1.08054,0.77324,0.22826,0.30663,0.16532,2.4097,2.98803,1.13379,0.000639856,0.000639856,0.000639856
9,179.858,2.27592,1.897,1.08064,0.75665,0.20261,0.32076,0.19703,2.34833,2.82253,1.11818,0.00071362,0.00071362,0.00071362
10,196.762,2.26764,1.8219,1.07559,0.74418,0.21272,0.32799,0.2079,2.32578,2.68039,1.12774,0.000785651,0.000785651,0.000785651
11,210.013,2.23117,1.80204,1.06458,0.74339,0.23325,0.33326,0.20603,2.29375,2.44041,1.14164,0.00085595,0.00085595,0.00085595
12,232.454,2.21047,1.76351,1.07796,0.71003,0.30968,0.34585,0.22543,2.35264,2.29087,1.16975,0.000924516,0.000924516,0.000924516
13,269.399,2.26108,1.69561,1.09419,0.70939,0.32296,0.35549,0.24161,2.36723,2.20664,1.17067,0.00099135,0.00099135,0.00099135
14,307.158,2.18875,1.72113,1.08161,0.70939,0.32296,0.35549,0.24161,2.36723,2.20664,1.17067,0.00105645,0.00105645,0.00105645
15,348.057,2.25744,1.74571,1.04935,0.6954,0.33411,0.35261,0.24078,2.33441,2.0866,1.17717,0.00107675,0.00107675,0.00107675
16,386.511,2.13357,1.64308,1.05454,0.70395,0.36285,0.36556,0.24723,2.30623,1.96819,1.18008,0.00106437,0.00106437,0.00106437
17,416.646,2.1661,1.64867,1.06154,0.69871,0.37993,0.37276,0.25064,2.295,1.9211,1.17679,0.001052,0.001052,0.001052
18,450.01,2.22968,1.62603,1.06254,0.69508,0.39798,0.37932,0.23031,2.28459,1.83804,1.18425,0.00103962,0.00103962,0.00103962
19,485.82,2.09574,1.61275,1.05374,0.6864,0.38354,0.38871,0.23761,2.23845,1.71852,1.16649,0.00102725,0.00102725,0.00102725
20,525.927,2.15747,1.50922,1.0517,0.70767,0.37194,0.39912,0.26535,2.17514,1.62496,1.12865,0.00101488,0.00101488,0.00101488
21,565.783,2.08436,1.56333,1.04634,0.7461,0.36013,0.39986,0.26711,2.20744,1.61551,1.11726,0.0010025,0.0010025,0.0010025
22,604.752,2.12422,1.49278,1.02856,0.7461,0.36013,0.39986,0.26711,2.20744,1.61551,1.11726,0.000990125,0.000990125,0.000990125
23,643.893,2.11719,1.54445,1.04953,0.70296,0.40505,0.39762,0.26042,2.25838,1.6474,1.11731,0.00097775,0.00097775,0.00097775
24,682.422,2.09935,1.50365,1.03102,0.66847,0.43671,0.39555,0.26179,2.249,1.62764,1.10971,0.000965375,0.000965375,0.000965375
25,721.684,2.12766,1.52881,1.03771,0.66894,0.4291,0.39642,0.27008,2.21715,1.61821,1.09631,0.000953,0.000953,0.000953
26,761.165,2.0367,1.44414,1.03478,0.68388,0.41498,0.40095,0.26985,2.19607,1.59949,1.10084,0.000940625,0.000940625,0.000940625
27,801.091,2.06511,1.45784,1.01171,0.68715,0.42082,0.39982,0.2711,2.18956,1.57799,1.09944,0.00092825,0.00092825,0.00092825
28,840.476,2.02359,1.43018,1.02318,0.67294,0.43686,0.40475,0.26568,2.20588,1.60433,1.1033,0.000915875,0.000915875,0.000915875
29,878.697,1.96857,1.45588,1.02489,0.67821,0.4407,0.40886,0.268,2.17518,1.57495,1.10991,0.0009035,0.0009035,0.0009035
30,919.191,2.04886,1.39447,1.01715,0.67821,0.4407,0.40886,0.268,2.17518,1.57495,1.10991,0.000891125,0.000891125,0.000891125
31,957.954,2.02623,1.47319,1.04559,0.67033,0.44066,0.40798,0.27519,2.13883,1.53407,1.10266,0.00087875,0.00087875,0.00087875
32,996.045,1.94777,1.40746,1.02448,0.69192,0.43609,0.41168,0.28322,2.12717,1.51362,1.09076,0.000866375,0.000866375,0.000866375
33,1034.95,2.02137,1.40369,1.00446,0.69347,0.43793,0.41488,0.27558,2.16053,1.5149,1.09683,0.000854,0.000854,0.000854
34,1074.89,1.99156,1.386,1.0159,0.70707,0.42771,0.41194,0.26591,2.20093,1.5356,1.1083,0.000841625,0.000841625,0.000841625
35,1114.12,2.02842,1.39634,1.0105,0.70297,0.4331,0.4149,0.26616,2.21308,1.56174,1.10732,0.00082925,0.00082925,0.00082925
36,1154.33,1.99652,1.39464,1.01891,0.71058,0.43272,0.42247,0.278,2.19079,1.53072,1.10508,0.000816875,0.000816875,0.000816875
37,1194.2,1.92398,1.31392,0.9934,0.6946,0.43729,0.41911,0.27776,2.18616,1.51645,1.10999,0.0008045,0.0008045,0.0008045
38,1233.76,1.93739,1.37607,1.00884,0.6946,0.43729,0.41911,0.27776,2.18616,1.51645,1.10999,0.000792125,0.000792125,0.000792125
39,1274.77,1.9707,1.32397,0.99613,0.68596,0.44133,0.41075,0.27418,2.1854,1.5171,1.12057,0.00077975,0.00077975,0.00077975
40,1314.16,1.93002,1.31999,1.01159,0.68771,0.42585,0.40026,0.27248,2.17409,1.52525,1.11371,0.000767375,0.000767375,0.000767375
41,1354.17,1.97235,1.3356,1.00666,0.69415,0.43388,0.41324,0.27232,2.18687,1.52343,1.1048,0.000755,0.000755,0.000755
42,1393.08,1.91103,1.36145,1.01631,0.70152,0.44202,0.41635,0.27414,2.20852,1.52606,1.10793,0.000742625,0.000742625,0.000742625
43,1432.02,1.98543,1.32567,0.99973,0.70608,0.439,0.42633,0.2832,2.18415,1.52004,1.09703,0.00073025,0.00073025,0.00073025
44,1470.81,1.90913,1.29575,0.98254,0.70991,0.44853,0.43107,0.28403,2.17019,1.50023,1.09479,0.000717875,0.000717875,0.000717875
45,1510.51,1.94807,1.30657,0.98775,0.71612,0.44739,0.43323,0.26862,2.18114,1.4776,1.10851,0.0007055,0.0007055,0.0007055
46,1549.56,2.01474,1.32942,1.01727,0.71612,0.44739,0.43323,0.26862,2.18114,1.4776,1.10851,0.000693125,0.000693125,0.000693125
47,1589.69,1.93619,1.27756,0.9995,0.71217,0.45214,0.43511,0.27783,2.15528,1.45056,1.1011,0.00068075,0.00068075,0.00068075
48,1629.55,1.87695,1.29619,1.00194,0.72353,0.44241,0.43773,0.28915,2.13983,1.44333,1.0896,0.000668375,0.000668375,0.000668375
49,1670.78,1.95498,1.29272,1.00084,0.71064,0.45044,0.43534,0.28872,2.14552,1.45828,1.08635,0.000656,0.000656,0.000656
50,1708.71,1.89756,1.29275,1.00395,0.69723,0.45391,0.42876,0.28349,2.14968,1.47496,1.08658,0.000643625,0.000643625,0.000643625
51,1745.52,1.94817,1.28469,0.99284,0.70925,0.44921,0.43245,0.27612,2.1482,1.46598,1.09439,0.00063125,0.00063125,0.00063125
52,1784.19,1.92066,1.2951,1.00962,0.71006,0.4498,0.43398,0.2773,2.14105,1.45607,1.09245,0.000618875,0.000618875,0.000618875
