epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0929,2.64768,4.35578,1.31442,0.0001,0.00029,5e-05,4e-05,2.6258,4.42719,1.55453,0.0001625,0.0001625,0.0001625
2,28.4139,2.55178,3.63852,1.17354,0.00055,0.01037,0.0003,9e-05,2.58657,4.28068,1.39873,0.000334159,0.000334159,0.000334159
3,42.3911,2.47031,2.84461,1.09067,0.29328,0.24837,0.21754,0.13199,2.5072,3.76678,1.17791,0.000502353,0.000502353,0.000502353
4,55.6569,2.50409,2.34535,1.1062,0.98136,0.22986,0.26682,0.16267,2.50658,3.39921,1.16021,0.000667081,0.000667081,0.000667081
5,69.2643,2.34386,2.35795,1.08164,1,0.24034,0.29219,0.17587,2.44629,3.00353,1.13575,0.000828345,0.000828345,0.000828345
6,83.2253,2.34855,2.21065,1.10481,0.6192,0.25835,0.30305,0.19031,2.44613,2.63331,1.14939,0.000986144,0.000986144,0.000986144
7,96.9589,2.38366,2.19685,1.13412,0.66135,0.33855,0.31983,0.20021,2.44072,2.37301,1.17613,0.00114048,0.00114048,0.00114048
8,110.453,2.35098,2.07623,1.10461,0.63836,0.36125,0.33435,0.20315,2.44254,2.17251,1.17632,0.00116337,0.00116337,0.00116337
9,124.013,2.34749,1.90769,1.12435,0.65629,0.36554,0.34443,0.21485,2.36431,2.19759,1.18094,0.001151,0.001151,0.001151
10,138.118,2.43989,1.86966,1.12022,0.62246,0.38103,0.34963,0.21926,2.37259,2.25037,1.17584,0.00113863,0.00113863,0.00113863
11,151.441,2.27974,1.87425,1.08422,0.63409,0.38702,0.35663,0.22339,2.32646,2.09409,1.15518,0.00112625,0.00112625,0.00112625
12,165.256,2.31884,1.80834,1.09697,0.69336,0.36601,0.36587,0.23911,2.30847,1.99523,1.15718,0.00111388,0.00111388,0.00111388
13,179.013,2.31236,1.81203,1.10787,0.65436,0.39136,0.3741,0.2409,2.30829,1.90526,1.15413,0.0011015,0.0011015,0.0011015
14,192.906,2.25123,1.86781,1.1013,0.65436,0.39136,0.3741,0.2409,2.30829,1.90526,1.15413,0.00108913,0.00108913,0.00108913
15,207.061,2.198,1.74631,1.07802,0.65918,0.39384,0.3753,0.23851,2.29245,1.87933,1.14554,0.00107675,0.00107675,0.00107675
16,220.78,2.16384,1.67945,1.06416,0.62237,0.41512,0.37702,0.24752,2.23173,1.79722,1.12408,0.00106437,0.00106437,0.00106437
17,234.81,2.1774,1.6833,1.0718,0.65359,0.40334,0.38513,0.25712,2.24841,1.7478,1.11289,0.001052,0.001052,0.001052
18,249.127,2.14335,1.67331,1.06094,0.63581,0.42558,0.38981,0.25611,2.25207,1.7997,1.10759,0.00103962,0.00103962,0.00103962
19,266.976,2.12955,1.63595,1.07794,0.6484,0.41736,0.38817,0.25462,2.27479,1.79383,1.11604,0.00102725,0.00102725,0.00102725
20,283.441,2.24671,1.59409,1.04852,0.64491,0.41322,0.38622,0.25555,2.27212,1.7948,1.11848,0.00101488,0.00101488,0.00101488
21,300.678,2.1214,1.65318,1.04963,0.41539,0.40125,0.37826,0.25027,2.27707,1.78053,1.11589,0.0010025,0.0010025,0.0010025
22,316.38,2.12579,1.61402,1.05884,0.41539,0.40125,0.37826,0.25027,2.27707,1.78053,1.11589,0.000990125,0.000990125,0.000990125
23,334.283,2.08872,1.56502,1.05594,0.68526,0.42013,0.39364,0.25634,2.23776,1.73645,1.10831,0.00097775,0.00097775,0.00097775
24,349.961,2.13333,1.55532,1.05765,0.69277,0.42563,0.3985,0.26333,2.23113,1.68907,1.10503,0.000965375,0.000965375,0.000965375
25,364.213,2.14346,1.51954,1.04568,0.6763,0.42815,0.39389,0.26666,2.24479,1.67084,1.11578,0.000953,0.000953,0.000953
26,378.416,2.11813,1.56349,1.05062,0.67632,0.42926,0.39798,0.26593,2.21896,1.64505,1.11138,0.000940625,0.000940625,0.000940625
27,392.794,2.11383,1.52992,1.03261,0.68079,0.43923,0.40177,0.26838,2.18279,1.61818,1.08598,0.00092825,0.00092825,0.00092825
28,406.628,2.02322,1.49282,1.02817,0.68495,0.43838,0.40327,0.26949,2.16895,1.61497,1.08431,0.000915875,0.000915875,0.000915875
29,420.214,2.02787,1.4901,1.03851,0.67367,0.4337,0.40562,0.27328,2.15342,1.62598,1.0832,0.0009035,0.0009035,0.0009035
30,434.138,2.11748,1.50011,1.03659,0.67367,0.4337,0.40562,0.27328,2.15342,1.62598,1.0832,0.000891125,0.000891125,0.000891125
31,447.613,2.04602,1.47809,1.02178,0.69749,0.43171,0.41197,0.27061,2.15238,1.6164,1.08293,0.00087875,0.00087875,0.00087875
32,461.008,2.03865,1.47108,1.03718,0.70871,0.42157,0.40583,0.26719,2.14965,1.5837,1.09488,0.000866375,0.000866375,0.000866375
33,474.479,2.05376,1.47003,1.03079,0.6922,0.43648,0.40642,0.26862,2.15665,1.5583,1.09126,0.000854,0.000854,0.000854
34,487.992,2.04312,1.44521,1.03108,0.69176,0.44298,0.4016,0.26398,2.17079,1.53736,1.09363,0.000841625,0.000841625,0.000841625
35,501.808,2.10428,1.51042,1.03707,0.6888,0.4426,0.41251,0.27102,2.16274,1.53168,1.0895,0.00082925,0.00082925,0.00082925
36,515.434,1.9707,1.41862,1.02013,0.68252,0.44452,0.41079,0.27568,2.17192,1.54149,1.08465,0.000816875,0.000816875,0.000816875
37,528.949,2.02435,1.42831,1.0286,0.68024,0.44043,0.41102,0.2731,2.1646,1.54174,1.07857,0.0008045,0.0008045,0.0008045
38,542.402,1.92736,1.37326,1.00184,0.68024,0.44043,0.41102,0.2731,2.1646,1.54174,1.07857,0.000792125,0.000792125,0.000792125
39,556.47,2.03529,1.4473,1.01777,0.67704,0.43929,0.41094,0.26925,2.14428,1.53738,1.08284,0.00077975,0.00077975,0.00077975
40,570.358,1.94523,1.42332,1.02443,0.67287,0.43866,0.40783,0.26532,2.15944,1.53133,1.09742,0.000767375,0.000767375,0.000767375
41,584.081,1.93675,1.3687,0.99352,0.68755,0.44269,0.41408,0.27071,2.16616,1.52776,1.10286,0.000755,0.000755,0.000755
42,598.58,1.91954,1.44703,1.02459,0.70382,0.43111,0.41544,0.27707,2.15168,1.51045,1.09342,0.000742625,0.000742625,0.000742625
43,612.401,1.97789,1.41238,1.0184,0.70242,0.44413,0.4176,0.27782,2.15742,1.51893,1.08885,0.00073025,0.00073025,0.00073025
44,627.552,1.97022,1.37843,0.98988,0.70656,0.43887,0.41918,0.27367,2.15436,1.52593,1.08972,0.000717875,0.000717875,0.000717875
45,641.752,2.00971,1.36947,1.0057,0.71177,0.43938,0.42021,0.27831,2.14618,1.52198,1.08852,0.0007055,0.0007055,0.0007055
46,655.99,1.93332,1.38896,0.98372,0.71177,0.43938,0.42021,0.27831,2.14618,1.52198,1.08852,0.000693125,0.000693125,0.000693125
47,669.46,1.97103,1.36142,0.99876,0.71092,0.43769,0.42336,0.27989,2.13383,1.49894,1.09586,0.00068075,0.00068075,0.00068075
48,685.426,1.95564,1.32906,1.01016,0.71525,0.43809,0.4259,0.28623,2.11612,1.46676,1.09716,0.000668375,0.000668375,0.000668375
49,699.281,1.93566,1.30419,1.00306,0.70692,0.44019,0.42698,0.28107,2.10331,1.46742,1.09276,0.000656,0.000656,0.000656
50,715.373,1.92133,1.35121,1.00165,0.70558,0.44349,0.42616,0.27636,2.15277,1.50044,1.10555,0.000643625,0.000643625,0.000643625
51,729.59,1.91751,1.33063,0.99762,0.71497,0.44564,0.42794,0.27535,2.13624,1.48468,1.09434,0.00063125,0.00063125,0.00063125
52,743.976,1.92826,1.39098,1.01068,0.71761,0.44529,0.43048,0.28013,2.10235,1.45899,1.08112,0.000618875,0.000618875,0.000618875
53,758.148,1.94593,1.33768,1.00061,0.71329,0.4456,0.43183,0.28179,2.10265,1.44562,1.08136,0.0006065,0.0006065,0.0006065
54,773.69,1.87768,1.31081,0.98574,0.71329,0.4456,0.43183,0.28179,2.10265,1.44562,1.08136,0.000594125,0.000594125,0.000594125
55,788.368,1.90896,1.30726,0.98888,0.71605,0.44344,0.42954,0.28152,2.1117,1.4622,1.08684,0.00058175,0.00058175,0.00058175
56,803.695,1.93487,1.30382,0.98554,0.70064,0.43644,0.42785,0.2707,2.14681,1.48414,1.09557,0.000569375,0.000569375,0.000569375
57,819.942,1.93604,1.31402,1.00224,0.69652,0.45078,0.43548,0.27297,2.14517,1.4714,1.0971,0.000557,0.000557,0.000557
58,835.605,1.94249,1.30214,0.99972,0.71069,0.44897,0.43813,0.2802,2.12201,1.44626,1.0941,0.000544625,0.000544625,0.000544625
59,851.13,1.87941,1.31179,1.00249,0.71316,0.45448,0.43865,0.2832,2.10181,1.43528,1.08872,0.00053225,0.00053225,0.00053225
60,867.281,1.90556,1.28899,1.01115,0.71217,0.45336,0.43835,0.28059,2.09886,1.43597,1.08256,0.000519875,0.000519875,0.000519875
61,883.57,1.98698,1.27594,0.98715,0.70559,0.44735,0.43312,0.28187,2.10994,1.45515,1.08424,0.0005075,0.0005075,0.0005075
62,898.81,1.90637,1.30606,0.99431,0.70559,0.44735,0.43312,0.28187,2.10994,1.45515,1.08424,0.000495125,0.000495125,0.000495125
63,914.31,1.86965,1.28851,0.98496,0.70509,0.44682,0.43043,0.28352,2.0973,1.44761,1.0856,0.00048275,0.00048275,0.00048275
64,930.047,1.81091,1.23272,0.97928,0.70744,0.4472,0.42896,0.2846,2.09863,1.42607,1.09114,0.000470375,0.000470375,0.000470375
65,945.607,1.87558,1.21191,0.97559,0.72145,0.44408,0.43528,0.28177,2.08958,1.40313,1.09652,0.000458,0.000458,0.000458
66,961.28,1.88726,1.24251,0.97718,0.72257,0.44917,0.43867,0.2801,2.08259,1.40555,1.09605,0.000445625,0.000445625,0.000445625
67,977.339,1.87723,1.20217,0.98125,0.70851,0.44741,0.43556,0.28386,2.08319,1.40789,1.09528,0.00043325,0.00043325,0.00043325
68,992.221,1.78924,1.21497,0.98197,0.71241,0.44769,0.44128,0.28598,2.08856,1.41558,1.09132,0.000420875,0.000420875,0.000420875
