epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1021,2.69415,4.37927,1.37286,9e-05,6e-05,0.00025,7e-05,2.80914,4.50801,1.77139,7.5e-05,7.5e-05,7.5e-05
2,76.2549,2.56629,4.06186,1.13698,0.00166,0.15771,0.10701,0.0682,2.68519,4.27213,1.37601,0.000160891,0.000160891,0.000160891
3,135.406,2.50203,3.66217,1.05329,0.00267,0.25084,0.22421,0.09664,2.98797,4.21918,1.25976,0.00024505,0.00024505,0.00024505
4,184.479,2.52737,3.33991,1.05595,0.00346,0.25108,0.24397,0.15532,2.75213,4.08,1.16033,0.000327476,0.000327476,0.000327476
5,240.952,2.52165,2.96877,1.05713,0.00542,0.25377,0.24646,0.12319,2.73854,4.06046,1.16459,0.00040817,0.00040817,0.00040817
6,296.482,2.548,2.80863,1.07262,0.00457,0.2544,0.24338,0.14234,2.75585,4.02214,1.16611,0.000487131,0.000487131,0.000487131
7,355.411,2.6281,2.63519,1.05624,0.00433,0.25521,0.24828,0.14502,2.72092,3.95885,1.13177,0.00056436,0.00056436,0.00056436
8,405.796,2.57266,2.42921,1.04522,0.00953,0.2646,0.25448,0.14784,2.68563,3.80836,1.11009,0.000639856,0.000639856,0.000639856
9,453.165,2.5564,2.31939,1.0496,0.61864,0.2607,0.25776,0.13573,2.62908,3.65069,1.09729,0.00071362,0.00071362,0.00071362
10,513.954,2.55061,2.16283,1.04516,0.92654,0.23527,0.27475,0.19201,2.62909,3.50645,1.09344,0.000785651,0.000785651,0.000785651
11,571.775,2.59146,2.14941,1.03883,0.83552,0.197,0.28289,0.2075,2.55965,3.24894,1.0871,0.00085595,0.00085595,0.00085595
12,627.273,2.52625,1.97313,1.05328,0.87393,0.23791,0.29073,0.19112,2.61739,3.07875,1.07558,0.000924516,0.000924516,0.000924516
13,684.254,2.53661,1.93624,1.04604,0.74965,0.25256,0.2959,0.20447,2.59015,2.76589,1.08117,0.00099135,0.00099135,0.00099135
14,731.821,2.48163,1.87585,1.04837,0.74965,0.25256,0.2959,0.20447,2.59015,2.76589,1.08117,0.00105645,0.00105645,0.00105645
15,788.238,2.54089,1.85602,1.04119,0.71203,0.28716,0.31351,0.22082,2.60259,2.46702,1.102,0.00107675,0.00107675,0.00107675
16,847.084,2.49895,1.84338,1.03095,0.66923,0.29581,0.34395,0.2224,2.69913,2.43758,1.10038,0.00106437,0.00106437,0.00106437
17,906.991,2.57329,1.85428,1.04964,0.67357,0.32733,0.35128,0.23938,2.61041,2.04633,1.09598,0.001052,0.001052,0.001052
18,968.337,2.55704,1.79819,1.05079,0.67703,0.3442,0.36921,0.23007,2.65135,1.94913,1.09279,0.00103962,0.00103962,0.00103962
19,1027.2,2.46826,1.77408,1.03136,0.65521,0.35609,0.36048,0.21919,2.62984,1.8813,1.08956,0.00102725,0.00102725,0.00102725
20,1085.48,2.50716,1.68154,1.03532,0.5744,0.36715,0.3629,0.24319,2.52626,1.84842,1.091,0.00101488,0.00101488,0.00101488
21,1144.72,2.42398,1.72353,1.0499,0.5337,0.36705,0.36579,0.2447,2.47905,1.86129,1.06855,0.0010025,0.0010025,0.0010025
22,1203.68,2.43181,1.62644,1.01847,0.5337,0.36705,0.36579,0.2447,2.47905,1.86129,1.06855,0.000990125,0.000990125,0.000990125
23,1264.72,2.45798,1.69568,1.03664,0.49377,0.36527,0.35352,0.23942,2.56433,1.91075,1.07478,0.00097775,0.00097775,0.00097775
24,1309.54,2.38669,1.64685,1.01769,0.47802,0.36788,0.35178,0.24009,2.50478,1.94372,1.08133,0.000965375,0.000965375,0.000965375
25,1370.08,2.38227,1.63474,1.02209,0.56163,0.36441,0.36766,0.23792,2.43863,1.8838,1.06797,0.000953,0.000953,0.000953
26,1420.39,2.32708,1.56368,1.0144,0.53969,0.38351,0.37766,0.24569,2.45777,1.85621,1.07719,0.000940625,0.000940625,0.000940625
27,1481.85,2.38292,1.5617,0.99745,0.49311,0.39083,0.37146,0.24861,2.4669,1.87164,1.0787,0.00092825,0.00092825,0.00092825
28,1542.77,2.34634,1.54994,1.00907,0.51288,0.38447,0.37222,0.25188,2.4089,1.90391,1.05798,0.000915875,0.000915875,0.000915875
29,1603.14,2.30762,1.55525,1.03456,0.48642,0.40139,0.3741,0.24822,2.42791,1.84187,1.05825,0.0009035,0.0009035,0.0009035
30,1658.92,2.36381,1.51991,1.02289,0.48642,0.40139,0.3741,0.24822,2.42791,1.84187,1.05825,0.000891125,0.000891125,0.000891125
31,1714.67,2.39122,1.59355,1.02456,0.48137,0.40632,0.37708,0.24087,2.47279,1.76441,1.06866,0.00087875,0.00087875,0.00087875
32,1769.56,2.30458,1.53694,1.023,0.50322,0.39113,0.37742,0.24768,2.44259,1.74713,1.07928,0.000866375,0.000866375,0.000866375
33,1823.67,2.30818,1.48667,1.00704,0.50649,0.39121,0.37652,0.26162,2.38244,1.73885,1.07253,0.000854,0.000854,0.000854
34,1881.17,2.29905,1.48171,1.01409,0.51019,0.3831,0.37221,0.26174,2.38356,1.70019,1.06921,0.000841625,0.000841625,0.000841625
35,1938.79,2.33477,1.48328,1.01563,0.53922,0.37266,0.37776,0.25582,2.39019,1.66366,1.06116,0.00082925,0.00082925,0.00082925
36,1994.43,2.27669,1.4908,1.01554,0.53354,0.37108,0.37875,0.24558,2.4166,1.64606,1.06644,0.000816875,0.000816875,0.000816875
37,2048.72,2.24438,1.43488,0.99734,0.5104,0.37442,0.37646,0.24092,2.4266,1.63074,1.06992,0.0008045,0.0008045,0.0008045
38,2103.02,2.29058,1.497,1.01371,0.5104,0.37442,0.37646,0.24092,2.4266,1.63074,1.06992,0.000792125,0.000792125,0.000792125
39,2159.21,2.23938,1.42459,0.99971,0.50192,0.38804,0.38409,0.25059,2.38681,1.60631,1.05607,0.00077975,0.00077975,0.00077975
40,2215.51,2.24225,1.42603,1.00825,0.50111,0.39879,0.39035,0.26246,2.37468,1.58972,1.0471,0.000767375,0.000767375,0.000767375
41,2272.94,2.29899,1.42833,1.0075,0.51237,0.40125,0.39343,0.26815,2.39934,1.58381,1.05128,0.000755,0.000755,0.000755
42,2328.85,2.26259,1.45931,1.01389,0.4981,0.40232,0.39114,0.26254,2.41348,1.56612,1.05894,0.000742625,0.000742625,0.000742625
43,2383.32,2.23625,1.39377,0.98936,0.50713,0.40215,0.39335,0.26219,2.40638,1.54523,1.05272,0.00073025,0.00073025,0.00073025
44,2437.09,2.18582,1.37491,0.97988,0.51287,0.40289,0.39481,0.26033,2.3875,1.51414,1.04488,0.000717875,0.000717875,0.000717875
45,2493.5,2.20453,1.39989,0.98874,0.5226,0.41314,0.40096,0.26165,2.37941,1.5026,1.04808,0.0007055,0.0007055,0.0007055
46,2548.65,2.27079,1.39926,1.00273,0.5226,0.41314,0.40096,0.26165,2.37941,1.5026,1.04808,0.000693125,0.000693125,0.000693125
47,2606.31,2.21782,1.37249,0.99202,0.52888,0.39818,0.39736,0.26598,2.35624,1.48994,1.04761,0.00068075,0.00068075,0.00068075
48,2661.63,2.13494,1.38236,0.99125,0.52297,0.4024,0.39631,0.26487,2.37053,1.48912,1.04556,0.000668375,0.000668375,0.000668375
49,2715.99,2.19781,1.38552,0.99345,0.53603,0.40709,0.39788,0.26297,2.37848,1.50342,1.04607,0.000656,0.000656,0.000656
50,2767.88,2.15839,1.37105,1.00419,0.52588,0.40438,0.39671,0.25699,2.36553,1.51706,1.05414,0.000643625,0.000643625,0.000643625
51,2822.95,2.21735,1.36496,0.98503,0.52376,0.40987,0.38963,0.25356,2.3813,1.54838,1.05655,0.00063125,0.00063125,0.00063125
52,2877.33,2.21251,1.39272,0.99852,0.5252,0.40323,0.38817,0.26457,2.38903,1.53761,1.04304,0.000618875,0.000618875,0.000618875
53,2933.64,2.18232,1.35344,0.98071,0.52394,0.40037,0.38934,0.26486,2.38514,1.50204,1.04607,0.0006065,0.0006065,0.0006065
54,2989.21,2.13988,1.33204,0.96886,0.52394,0.40037,0.38934,0.26486,2.38514,1.50204,1.04607,0.000594125,0.000594125,0.000594125
55,3042.32,2.26222,1.36838,1.00298,0.51382,0.39477,0.39033,0.26679,2.39615,1.48747,1.05626,0.00058175,0.00058175,0.00058175
56,3096.64,2.10932,1.34529,0.9789,0.52667,0.39696,0.3921,0.27001,2.37454,1.47714,1.05036,0.000569375,0.000569375,0.000569375
57,3148.5,2.17237,1.35568,0.98587,0.54222,0.4039,0.39624,0.27032,2.36445,1.48405,1.04434,0.000557,0.000557,0.000557
58,3203.03,2.13738,1.324,0.98055,0.53128,0.41738,0.40423,0.26784,2.34245,1.47933,1.04011,0.000544625,0.000544625,0.000544625
59,3258.31,2.10682,1.36794,0.97289,0.53355,0.41308,0.39764,0.26796,2.30936,1.46828,1.03823,0.00053225,0.00053225,0.00053225
60,3310.24,2.15088,1.34435,1.0156,0.53232,0.40321,0.39601,0.26995,2.31679,1.46529,1.03756,0.000519875,0.000519875,0.000519875
61,3363.32,2.07286,1.31172,0.95339,0.51798,0.40794,0.39815,0.26988,2.34303,1.46765,1.03839,0.0005075,0.0005075,0.0005075
62,3416.96,2.12118,1.33132,0.97371,0.51798,0.40794,0.39815,0.26988,2.34303,1.46765,1.03839,0.000495125,0.000495125,0.000495125
63,3469.98,2.08847,1.30828,0.97741,0.51113,0.4185,0.40383,0.27434,2.31725,1.45072,1.0333,0.00048275,0.00048275,0.00048275
64,3522.72,2.02072,1.27479,0.96608,0.53411,0.41255,0.40957,0.27454,2.30003,1.42956,1.03428,0.000470375,0.000470375,0.000470375
65,3575.59,2.06339,1.30081,0.97075,0.51905,0.41595,0.4071,0.2653,2.3212,1.42912,1.03913,0.000458,0.000458,0.000458
66,3630.81,2.12907,1.30527,0.96479,0.52121,0.40853,0.40336,0.26858,2.33297,1.42679,1.04059,0.000445625,0.000445625,0.000445625
67,3685.77,2.08249,1.26692,0.95498,0.5168,0.40589,0.40025,0.26916,2.33796,1.41945,1.04341,0.00043325,0.00043325,0.00043325
68,3741.27,2.09492,1.27705,0.97009,0.51569,0.4083,0.40183,0.2686,2.34541,1.41318,1.03979,0.000420875,0.000420875,0.000420875
69,3793.56,2.07705,1.27981,0.97954,0.52827,0.41537,0.4058,0.27443,2.30396,1.39228,1.03602,0.0004085,0.0004085,0.0004085
70,3847.05,2.09604,1.26986,0.94761,0.52827,0.41537,0.4058,0.27443,2.30396,1.39228,1.03602,0.000396125,0.000396125,0.000396125
71,3902.51,2.06689,1.27698,0.96304,0.5263,0.41781,0.40538,0.27517,2.31011,1.40048,1.03892,0.00038375,0.00038375,0.00038375
72,3959.53,2.07503,1.2545,0.9693,0.52774,0.41815,0.40937,0.26188,2.34207,1.41597,1.04192,0.000371375,0.000371375,0.000371375
73,4002.6,2.04195,1.23995,0.95445,0.5368,0.41681,0.4108,0.2667,2.31076,1.40634,1.03361,0.000359,0.000359,0.000359
74,4025.01,2.12808,1.27778,0.97082,0.53573,0.42028,0.41046,0.27846,2.28675,1.39558,1.02909,0.000346625,0.000346625,0.000346625
75,4046.29,2.03769,1.28306,0.95996,0.51701,0.42229,0.41128,0.27765,2.29943,1.40118,1.02755,0.00033425,0.00033425,0.00033425
76,4068.33,2.05122,1.25943,0.96455,0.50921,0.41984,0.40749,0.27561,2.35103,1.4198,1.032,0.000321875,0.000321875,0.000321875
77,4091.46,2.11288,1.23188,0.94469,0.51104,0.41717,0.40591,0.26526,2.35962,1.4214,1.0347,0.0003095,0.0003095,0.0003095
78,4132.28,2.12512,1.27601,0.94619,0.51104,0.41717,0.40591,0.26526,2.35962,1.4214,1.0347,0.000297125,0.000297125,0.000297125
79,4185.2,1.98374,1.25731,0.95124,0.51596,0.41957,0.40861,0.26869,2.31859,1.39962,1.03579,0.00028475,0.00028475,0.00028475
