epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6487,2.612,4.18144,1.33112,0.00922,0.23072,0.15187,0.08535,2.60307,4.16827,1.24158,0.000359441,0.000359441,0.000359441
2,23.2641,2.4578,3.03385,1.14925,0.92172,0.12632,0.14987,0.09,2.59507,3.68917,1.1696,0.000729411,0.000729411,0.000729411
3,31.7887,2.49139,2.56748,1.13406,0.76861,0.15451,0.20313,0.10399,2.60338,2.75258,1.14758,0.00109792,0.00109792,0.00109792
4,40.218,2.44151,2.25915,1.13447,0.52844,0.24136,0.25149,0.13827,2.53779,2.1418,1.18098,0.00110602,0.00110602,0.00110602
5,49.0155,2.43593,2.11387,1.1346,0.54329,0.27773,0.26603,0.15988,2.5237,2.01156,1.17387,0.00110216,0.00110216,0.00110216
6,57.6096,2.38582,1.96247,1.11258,0.43069,0.29046,0.28831,0.17767,2.40834,2.03287,1.16528,0.00109721,0.00109721,0.00109721
7,66.2018,2.31669,1.92557,1.10335,0.36865,0.32718,0.30284,0.1788,2.42859,2.14869,1.17149,0.00109118,0.00109118,0.00109118
8,75.0449,2.27346,1.87706,1.12736,0.4667,0.33695,0.32664,0.19419,2.36376,2.00016,1.17407,0.00108408,0.00108408,0.00108408
9,83.7034,2.23344,1.80186,1.09882,0.46758,0.35188,0.35419,0.20671,2.32935,1.78062,1.17796,0.00107593,0.00107593,0.00107593
10,92.1831,2.2557,1.79488,1.10129,0.47764,0.37373,0.36672,0.21061,2.36892,1.7389,1.17449,0.00106674,0.00106674,0.00106674
11,100.581,2.28714,1.77901,1.12906,0.4344,0.39014,0.36499,0.22285,2.3729,1.68861,1.15849,0.00105654,0.00105654,0.00105654
12,108.972,2.24714,1.72548,1.09235,0.47668,0.39406,0.36945,0.22358,2.31333,1.63396,1.13885,0.00104533,0.00104533,0.00104533
13,117.28,2.1931,1.67194,1.09405,0.46565,0.40624,0.37816,0.21365,2.32631,1.64738,1.15936,0.00103315,0.00103315,0.00103315
14,125.8,2.225,1.65838,1.09877,0.47736,0.40645,0.37896,0.22101,2.31884,1.63945,1.13709,0.00102002,0.00102002,0.00102002
15,134.246,2.16489,1.63094,1.09347,0.47934,0.41372,0.38722,0.23035,2.32562,1.60396,1.14828,0.00100597,0.00100597,0.00100597
16,142.745,2.1743,1.59279,1.09216,0.45713,0.3991,0.36995,0.21819,2.29856,1.60378,1.12474,0.000991019,0.000991019,0.000991019
17,151.106,2.15099,1.61743,1.08685,0.47538,0.41731,0.38042,0.22366,2.34327,1.59513,1.14649,0.000975203,0.000975203,0.000975203
18,159.668,2.21345,1.5977,1.07809,0.48264,0.37503,0.36866,0.21973,2.40976,1.65548,1.12508,0.000958552,0.000958552,0.000958552
19,169.369,2.22114,1.60113,1.08105,0.43327,0.39517,0.37863,0.21439,2.34957,1.60258,1.12984,0.000941101,0.000941101,0.000941101
20,181.441,2.17397,1.52505,1.06073,0.49056,0.4063,0.40161,0.24152,2.28172,1.51668,1.12122,0.000922885,0.000922885,0.000922885
21,190.686,2.1645,1.5359,1.06879,0.50246,0.43781,0.39737,0.2385,2.29027,1.52605,1.13866,0.00090394,0.00090394,0.00090394
22,199.103,2.12787,1.50994,1.06333,0.50135,0.4138,0.39286,0.23524,2.29504,1.53613,1.11782,0.000884305,0.000884305,0.000884305
23,208.027,2.15245,1.48024,1.0592,0.52556,0.41732,0.40004,0.23427,2.3079,1.56224,1.13161,0.000864018,0.000864018,0.000864018
24,216.513,2.12574,1.49313,1.05968,0.49243,0.42962,0.39694,0.23745,2.26023,1.53735,1.1186,0.000843121,0.000843121,0.000843121
25,224.789,2.07225,1.48499,1.05555,0.46663,0.41237,0.38834,0.22489,2.29041,1.56546,1.12598,0.000821657,0.000821657,0.000821657
26,233.299,2.08645,1.44767,1.05156,0.49569,0.42356,0.40091,0.23737,2.29794,1.53761,1.12218,0.000799667,0.000799667,0.000799667
27,241.585,2.08314,1.43246,1.05365,0.51811,0.43608,0.4091,0.24553,2.2963,1.49678,1.13052,0.000777197,0.000777197,0.000777197
28,250.14,2.11422,1.42288,1.04842,0.52301,0.44431,0.40728,0.24545,2.28789,1.54126,1.11955,0.000754292,0.000754292,0.000754292
29,258.665,2.07501,1.42708,1.0433,0.50666,0.42512,0.39931,0.23896,2.271,1.5263,1.11546,0.000730997,0.000730997,0.000730997
30,267.195,2.06427,1.40543,1.03664,0.52373,0.42932,0.40413,0.24616,2.26512,1.55047,1.12146,0.000707361,0.000707361,0.000707361
31,275.608,2.04398,1.38852,1.04166,0.53165,0.43374,0.41286,0.24793,2.20823,1.46311,1.11777,0.000683429,0.000683429,0.000683429
32,283.965,2.03334,1.36725,1.0509,0.52598,0.44941,0.39854,0.24529,2.23815,1.56889,1.12656,0.000659251,0.000659251,0.000659251
33,292.468,2.0319,1.37456,1.02449,0.53232,0.42856,0.40985,0.24471,2.25583,1.50786,1.12655,0.000634876,0.000634876,0.000634876
34,300.775,2.01227,1.37406,1.03776,0.49635,0.44257,0.41879,0.25404,2.22623,1.46893,1.11312,0.000610352,0.000610352,0.000610352
35,309.2,2.01928,1.34702,1.02145,0.47089,0.4542,0.4112,0.24613,2.25106,1.49417,1.11699,0.000585728,0.000585728,0.000585728
