epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.778,2.60389,4.48157,1.4089,0.00047,0.00028,0.00123,0.00033,2.60468,4.50535,1.53703,6.666e-05,6.666e-05,6.666e-05
2,39.5174,2.5321,4.1773,1.17492,0.01048,0.17778,0.12431,0.08972,2.73405,4.30002,1.21893,0.000143,0.000143,0.000143
3,57.6794,2.50919,3.82844,1.10827,0.01241,0.21249,0.20005,0.13953,2.73646,4.21761,1.12521,0.0002178,0.0002178,0.0002178
4,78.9258,2.53767,3.53643,1.09071,0.00997,0.22305,0.20128,0.14759,2.65679,4.15609,1.10526,0.000291061,0.000291061,0.000291061
5,111.177,2.53287,3.22469,1.09264,0.0096,0.24017,0.19772,0.11004,2.70113,4.09068,1.09902,0.000362781,0.000362781,0.000362781
6,166.332,2.55686,3.09298,1.09082,0.95181,0.15556,0.17747,0.08181,2.62762,4.03993,1.07705,0.000432962,0.000432962,0.000432962
7,220.322,2.48344,2.95862,1.07792,0.00856,0.2487,0.20182,0.14751,2.5142,3.92675,1.07054,0.000501603,0.000501603,0.000501603
8,274.161,2.48325,2.77239,1.08776,0.00834,0.24322,0.2024,0.14017,2.50101,3.85711,1.07962,0.000568704,0.000568704,0.000568704
9,328.409,2.44886,2.68022,1.0837,0.00922,0.24179,0.20327,0.14722,2.41917,3.80874,1.08155,0.000634265,0.000634265,0.000634265
10,382.565,2.49285,2.45947,1.10083,0.00977,0.23059,0.19414,0.14135,2.48705,3.77381,1.08641,0.000698287,0.000698287,0.000698287
11,436.73,2.52812,2.4626,1.08837,0.0304,0.27904,0.22977,0.175,2.56524,3.53359,1.09437,0.000760768,0.000760768,0.000760768
12,491.001,2.51159,2.28523,1.10414,0.97139,0.12816,0.26469,0.16957,2.47522,3.20538,1.14191,0.00082171,0.00082171,0.00082171
13,545.77,2.57827,2.23545,1.16356,0.85366,0.17481,0.2781,0.14484,2.65179,2.99217,1.14618,0.000881112,0.000881112,0.000881112
14,596.572,2.50861,2.21199,1.12866,0.85366,0.17481,0.2781,0.14484,2.65179,2.99217,1.14618,0.000938974,0.000938974,0.000938974
15,653.903,2.58285,2.16649,1.08346,0.80312,0.20284,0.26473,0.15288,2.75051,2.81115,1.14149,0.000957015,0.000957015,0.000957015
16,706.302,2.49969,2.15466,1.08845,0.75296,0.2345,0.27404,0.17739,2.66089,2.55617,1.10917,0.000946016,0.000946016,0.000946016
17,764.24,2.5254,2.07985,1.08969,0.74092,0.27534,0.27774,0.18347,2.60369,2.30139,1.12381,0.000935018,0.000935018,0.000935018
18,822.476,2.52154,2.03082,1.09257,0.72494,0.28953,0.28887,0.19361,2.58099,2.1405,1.13039,0.000924019,0.000924019,0.000924019
19,879.161,2.41008,2.02553,1.08518,0.71244,0.29386,0.30344,0.19536,2.58123,2.02416,1.12652,0.00091302,0.00091302,0.00091302
20,935.479,2.48133,1.93195,1.07116,0.72656,0.30663,0.32389,0.21658,2.45084,1.90003,1.11678,0.000902021,0.000902021,0.000902021
21,990.578,2.39612,1.91788,1.08411,0.7325,0.31907,0.32555,0.2164,2.41904,1.93634,1.11958,0.000891022,0.000891022,0.000891022
22,1046.66,2.39092,1.78728,1.05483,0.7325,0.31907,0.32555,0.2164,2.41904,1.93634,1.11958,0.000880023,0.000880023,0.000880023
23,1103.74,2.45067,1.8944,1.0861,0.56294,0.36674,0.33504,0.20465,2.50778,1.96604,1.12346,0.000869024,0.000869024,0.000869024
24,1161.01,2.37817,1.82753,1.05756,0.5975,0.37045,0.3335,0.22202,2.45916,1.99177,1.10578,0.000858025,0.000858025,0.000858025
25,1219.2,2.35993,1.82094,1.06063,0.54832,0.37424,0.32975,0.22285,2.40214,2.01807,1.10526,0.000847026,0.000847026,0.000847026
26,1278.45,2.2921,1.75998,1.05933,0.58851,0.3425,0.33523,0.21124,2.39029,1.93927,1.10824,0.000836027,0.000836027,0.000836027
27,1333.79,2.34921,1.71793,1.03944,0.53217,0.3805,0.3343,0.21878,2.49448,1.96062,1.12327,0.000825029,0.000825029,0.000825029
28,1377.59,2.32074,1.73529,1.05073,0.56982,0.36487,0.34686,0.22307,2.44495,1.91433,1.126,0.00081403,0.00081403,0.00081403
29,1433.14,2.30284,1.73648,1.07473,0.56509,0.39138,0.34278,0.21786,2.40033,1.88647,1.13251,0.000803031,0.000803031,0.000803031
30,1488.29,2.3759,1.67016,1.07037,0.56509,0.39138,0.34278,0.21786,2.40033,1.88647,1.13251,0.000792032,0.000792032,0.000792032
31,1537.93,2.35865,1.73275,1.09112,0.60451,0.3909,0.36357,0.2173,2.41331,1.82859,1.12787,0.000781033,0.000781033,0.000781033
32,1592.01,2.27494,1.68732,1.06498,0.61811,0.409,0.38116,0.22889,2.42325,1.79801,1.10805,0.000770034,0.000770034,0.000770034
33,1632.32,2.36174,1.69578,1.0449,0.5874,0.43082,0.37685,0.24124,2.41214,1.79886,1.08706,0.000759035,0.000759035,0.000759035
34,1686.72,2.31509,1.65681,1.04612,0.59144,0.41701,0.37982,0.24286,2.3426,1.76475,1.08243,0.000748036,0.000748036,0.000748036
35,1741.5,2.33064,1.62455,1.06723,0.60321,0.42091,0.38386,0.23677,2.36994,1.74575,1.09443,0.000737037,0.000737037,0.000737037
36,1796.25,2.3112,1.61684,1.07327,0.64077,0.40415,0.39591,0.22502,2.43212,1.73608,1.11945,0.000726038,0.000726038,0.000726038
37,1852.84,2.24804,1.52783,1.04656,0.54724,0.43566,0.39379,0.22849,2.40811,1.73687,1.1102,0.00071504,0.00071504,0.00071504
38,1910.11,2.30713,1.65711,1.06022,0.54724,0.43566,0.39379,0.22849,2.40811,1.73687,1.1102,0.000704041,0.000704041,0.000704041
39,1969.5,2.29774,1.5779,1.04999,0.54109,0.40164,0.39318,0.24951,2.29912,1.73197,1.08664,0.000693042,0.000693042,0.000693042
40,2025.19,2.22673,1.54548,1.04316,0.52369,0.40398,0.39663,0.25818,2.28081,1.6769,1.07668,0.000682043,0.000682043,0.000682043
41,2079.19,2.28307,1.55216,1.0461,0.46868,0.42291,0.39592,0.24948,2.35065,1.68024,1.08626,0.000671044,0.000671044,0.000671044
42,2131.69,2.19044,1.57779,1.04698,0.46795,0.43958,0.40099,0.2488,2.35906,1.66911,1.09223,0.000660045,0.000660045,0.000660045
43,2186.9,2.24169,1.52435,1.03699,0.46305,0.43709,0.40961,0.25283,2.30249,1.63631,1.07753,0.000649046,0.000649046,0.000649046
44,2243.27,2.16354,1.48427,1.01504,0.46395,0.46496,0.4105,0.26288,2.29394,1.58489,1.07372,0.000638047,0.000638047,0.000638047
45,2299.12,2.23068,1.54238,1.03422,0.46022,0.45095,0.41503,0.26437,2.33848,1.58554,1.07702,0.000627048,0.000627048,0.000627048
46,2356.05,2.29559,1.52965,1.04559,0.46022,0.45095,0.41503,0.26437,2.33848,1.58554,1.07702,0.000616049,0.000616049,0.000616049
47,2409,2.20534,1.4908,1.02304,0.53276,0.4345,0.41798,0.26757,2.29837,1.5725,1.07126,0.000605051,0.000605051,0.000605051
48,2461.96,2.13155,1.50732,1.03196,0.50757,0.45811,0.41714,0.2729,2.25024,1.56965,1.06752,0.000594052,0.000594052,0.000594052
49,2517.77,2.21124,1.50909,1.03734,0.49012,0.45157,0.40997,0.26774,2.2431,1.55456,1.07015,0.000583053,0.000583053,0.000583053
50,2573.25,2.17268,1.49327,1.05567,0.55126,0.43586,0.42407,0.26659,2.25713,1.54863,1.0647,0.000572054,0.000572054,0.000572054
51,2629.1,2.24977,1.50918,1.02264,0.50903,0.44004,0.41641,0.25696,2.29856,1.57695,1.07148,0.000561055,0.000561055,0.000561055
52,2685.63,2.19473,1.50176,1.03438,0.48908,0.44902,0.42038,0.2441,2.30535,1.58127,1.07763,0.000550056,0.000550056,0.000550056
53,2739.63,2.20441,1.46932,1.02056,0.50526,0.43352,0.40469,0.24846,2.26443,1.55651,1.07614,0.000539057,0.000539057,0.000539057
54,2795.41,2.15036,1.43887,1.01671,0.50526,0.43352,0.40469,0.24846,2.26443,1.55651,1.07614,0.000528058,0.000528058,0.000528058
55,2848.84,2.23662,1.48408,1.04218,0.57644,0.45846,0.40637,0.25157,2.25388,1.55007,1.07838,0.000517059,0.000517059,0.000517059
56,2905.37,2.12309,1.4244,1.01918,0.54561,0.46162,0.4175,0.26028,2.26113,1.53295,1.07097,0.00050606,0.00050606,0.00050606
57,2960.18,2.18449,1.47799,1.03247,0.48349,0.48753,0.43501,0.26927,2.31911,1.53764,1.07671,0.000495062,0.000495062,0.000495062
