epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7023,2.70329,4.48718,1.37141,0.00021,6e-05,0.0006,0.00042,2.84559,4.63536,1.80071,6.666e-05,6.666e-05,6.666e-05
2,70.8877,2.60394,4.21571,1.15194,0.00293,0.03709,0.00614,0.00447,2.72429,4.4478,1.45902,0.000143,0.000143,0.000143
3,105.58,2.56155,3.83914,1.06264,0.01904,0.19588,0.15263,0.06122,2.98681,4.37141,1.32786,0.0002178,0.0002178,0.0002178
4,139.405,2.52087,3.57264,1.05014,0.01454,0.21645,0.19789,0.13252,2.8617,4.22992,1.20214,0.000291061,0.000291061,0.000291061
5,171.646,2.48186,3.26082,1.05201,0.01114,0.2222,0.20281,0.11028,2.91056,4.19402,1.17207,0.000362781,0.000362781,0.000362781
6,204.158,2.48374,3.12839,1.06623,0.00961,0.22257,0.19968,0.12176,2.71081,4.14066,1.12637,0.000432962,0.000432962,0.000432962
7,235.1,2.51748,2.96699,1.04356,0.00685,0.22246,0.1976,0.12632,2.8269,4.09194,1.13865,0.000501603,0.000501603,0.000501603
8,265.751,2.48548,2.7875,1.03752,0.00586,0.21832,0.19661,0.12715,2.60904,3.9547,1.11346,0.000568704,0.000568704,0.000568704
9,297.858,2.43843,2.73455,1.04135,0.00715,0.2126,0.19056,0.12821,2.55847,3.87508,1.09512,0.000634265,0.000634265,0.000634265
10,329.797,2.49032,2.5232,1.04009,0.01084,0.22354,0.18823,0.13582,2.58072,3.8213,1.07599,0.000698287,0.000698287,0.000698287
11,361.986,2.4725,2.48864,1.04117,0.02812,0.26312,0.23015,0.15005,2.59248,3.53901,1.07001,0.000760768,0.000760768,0.000760768
12,392.918,2.46224,2.26935,1.04622,0.97582,0.19536,0.24876,0.15684,2.63282,3.23869,1.07946,0.00082171,0.00082171,0.00082171
13,426.115,2.46631,2.1741,1.06248,0.86778,0.20857,0.26153,0.1629,2.56699,2.84677,1.07341,0.000881112,0.000881112,0.000881112
14,457.359,2.4779,2.10471,1.07002,0.86778,0.20857,0.26153,0.1629,2.56699,2.84677,1.07341,0.000938974,0.000938974,0.000938974
15,490.923,2.53753,2.0534,1.03265,0.78835,0.22634,0.26731,0.16667,2.64682,2.60409,1.08282,0.000957015,0.000957015,0.000957015
16,521.415,2.42178,1.99776,1.04073,0.7726,0.24377,0.28808,0.18076,2.56541,2.3414,1.09862,0.000946016,0.000946016,0.000946016
17,553.166,2.47504,1.94288,1.04084,0.77792,0.24793,0.30634,0.19723,2.61136,2.14965,1.09427,0.000935018,0.000935018,0.000935018
18,586.693,2.52779,1.92192,1.04261,0.68846,0.28554,0.33221,0.21325,2.56434,1.97633,1.09211,0.000924019,0.000924019,0.000924019
19,619.792,2.4242,1.86341,1.04393,0.61996,0.30615,0.34264,0.22024,2.52299,1.90531,1.13142,0.00091302,0.00091302,0.00091302
20,654.124,2.44328,1.79069,1.04686,0.61872,0.31944,0.34398,0.22357,2.52494,1.87943,1.10396,0.000902021,0.000902021,0.000902021
21,687.288,2.39877,1.83291,1.03425,0.57067,0.35454,0.33531,0.20937,2.53589,1.89842,1.10567,0.000891022,0.000891022,0.000891022
22,721.374,2.44715,1.71659,1.02145,0.57067,0.35454,0.33531,0.20937,2.53589,1.89842,1.10567,0.000880023,0.000880023,0.000880023
23,755.445,2.40923,1.74875,1.05049,0.59378,0.33931,0.3376,0.21712,2.53443,1.96732,1.11694,0.000869024,0.000869024,0.000869024
24,788.619,2.36857,1.70729,1.02627,0.56643,0.3665,0.3368,0.21724,2.47968,1.90857,1.09155,0.000858025,0.000858025,0.000858025
25,821.747,2.41098,1.70086,1.0266,0.48457,0.37224,0.3482,0.22497,2.50803,1.90003,1.08222,0.000847026,0.000847026,0.000847026
26,854.932,2.37362,1.64209,1.02333,0.49861,0.36932,0.35114,0.22347,2.531,1.94854,1.10063,0.000836027,0.000836027,0.000836027
27,888.169,2.39477,1.62475,1.0055,0.50643,0.34224,0.34332,0.21504,2.51288,1.92521,1.09381,0.000825029,0.000825029,0.000825029
28,920.829,2.35313,1.61743,1.01552,0.44431,0.41532,0.35591,0.22279,2.44096,1.84924,1.07472,0.00081403,0.00081403,0.00081403
29,953.485,2.30915,1.6245,1.02113,0.51195,0.40083,0.36841,0.23407,2.39803,1.82959,1.07047,0.000803031,0.000803031,0.000803031
30,987.704,2.34426,1.59543,1.01298,0.51195,0.40083,0.36841,0.23407,2.39803,1.82959,1.07047,0.000792032,0.000792032,0.000792032
31,1022.37,2.36088,1.64829,1.03593,0.50786,0.40022,0.36108,0.22369,2.43064,1.88695,1.07238,0.000781033,0.000781033,0.000781033
32,1055.17,2.24704,1.57494,1.01918,0.51719,0.40027,0.36299,0.23359,2.42456,1.95949,1.06933,0.000770034,0.000770034,0.000770034
33,1084.58,2.30704,1.55051,1.00639,0.52953,0.39953,0.36797,0.23741,2.41193,2.03732,1.07223,0.000759035,0.000759035,0.000759035
34,1114.59,2.2826,1.51893,1.00891,0.56679,0.39429,0.37579,0.24657,2.38294,1.93359,1.06845,0.000748036,0.000748036,0.000748036
35,1144.09,2.2817,1.51038,1.00606,0.4913,0.42797,0.38578,0.2431,2.44146,1.8562,1.06176,0.000737037,0.000737037,0.000737037
36,1178.12,2.26319,1.52638,1.01304,0.45539,0.43595,0.37906,0.22542,2.47942,1.83148,1.06711,0.000726038,0.000726038,0.000726038
37,1218.86,2.22193,1.45429,0.98414,0.46198,0.43237,0.38296,0.23239,2.41833,1.81824,1.0638,0.00071504,0.00071504,0.00071504
