epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4353,5.66244,4.67767,1.47331,0.3251,0.21741,0.20772,0.08671,5.21299,2.89327,1.40285,0.000361301,0.000361301,0.000361301
2,121.375,5.02644,2.38597,1.25713,0.05296,0.0766,0.03841,0.01243,6.24768,3.84309,1.41266,0.000726805,0.000726805,0.000726805
3,174.17,5.18836,2.23094,1.29557,0,0,0,0,nan,nan,nan,0.00108742,0.00108742,0.00108742
4,228.266,5.183,2.07136,1.3078,0.28366,0.01943,0.04213,0.02316,7.33491,inf,2.2074,0.001089,0.001089,0.001089
5,314.6,5.02724,1.96866,1.26126,0.31341,0.31849,0.23907,0.10423,5.10752,2.47184,1.28177,0.00108167,0.00108167,0.00108167
6,365.587,5.07791,1.88889,1.25374,0.68705,0.28176,0.35231,0.15009,4.96929,1.85584,1.26726,0.00107434,0.00107434,0.00107434
7,419.381,4.93468,1.83619,1.23295,0.42159,0.36664,0.33148,0.15105,5.05552,1.9029,1.27955,0.001067,0.001067,0.001067
8,469.521,4.91897,1.77456,1.22849,0.43855,0.41093,0.3611,0.18948,4.91622,1.92963,1.24327,0.00105967,0.00105967,0.00105967
9,519.969,4.92529,1.73527,1.22682,0.47293,0.37036,0.37138,0.18051,4.89536,1.6881,1.22183,0.00105234,0.00105234,0.00105234
10,570.045,4.82009,1.68402,1.21275,0.46293,0.34665,0.3521,0.18925,4.8568,1.702,1.23336,0.00104501,0.00104501,0.00104501
11,622.056,4.76297,1.62974,1.20198,0.49734,0.39428,0.39337,0.19741,4.79595,1.59859,1.21689,0.00103767,0.00103767,0.00103767
12,673.888,4.78384,1.60182,1.19236,0.51356,0.41124,0.40791,0.21044,4.97579,1.65749,1.17556,0.00103034,0.00103034,0.00103034
13,753.972,4.78813,1.63124,1.19878,0.43869,0.37161,0.3528,0.14759,5.12205,1.82595,1.2189,0.00102301,0.00102301,0.00102301
