epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6492,5.63467,24.8568,1.34081,0.00544,0.19439,0.11627,0.0524,5.70693,27.7453,1.26009,0.000361301,0.000361301,0.000361301
2,55.6089,5.47506,17.3064,1.23625,1,0.13347,0.20545,0.10935,5.38452,21.1005,1.18123,0.000726805,0.000726805,0.000726805
3,83.3924,5.48657,15.0161,1.25143,0.51547,0.21327,0.19619,0.08407,5.78526,14.7021,1.20503,0.00108742,0.00108742,0.00108742
4,110.834,5.46143,14.5795,1.2503,0.46441,0.29509,0.26261,0.11852,5.6889,13.7116,1.17183,0.001089,0.001089,0.001089
5,140.039,5.33045,13.5338,1.21864,0.33241,0.35031,0.29056,0.13645,5.3667,13.0663,1.17103,0.00108167,0.00108167,0.00108167
6,166.86,5.24168,12.9619,1.2056,0.33916,0.35487,0.33504,0.19332,5.29962,10.981,1.13868,0.00107434,0.00107434,0.00107434
7,194.365,5.16692,12.6196,1.17621,0.46585,0.41027,0.36864,0.19693,5.19478,10.6909,1.10428,0.001067,0.001067,0.001067
8,222.445,5.05993,11.9617,1.16187,0.4859,0.40769,0.3839,0.21642,5.14497,9.98645,1.10802,0.00105967,0.00105967,0.00105967
9,251.721,5.01636,11.7618,1.15095,0.4847,0.38547,0.37339,0.20535,5.17028,10.7771,1.11161,0.00105234,0.00105234,0.00105234
10,280.98,5.0262,11.4328,1.17726,0.47655,0.4145,0.38615,0.21358,4.98967,9.71162,1.1074,0.00104501,0.00104501,0.00104501
11,307.492,4.98838,11.1674,1.15418,0.49209,0.40226,0.40209,0.21438,5.20113,10.8453,1.11605,0.00103767,0.00103767,0.00103767
12,334.854,4.92802,10.8744,1.15719,0.54721,0.43125,0.42376,0.23514,4.98691,9.62831,1.0985,0.00103034,0.00103034,0.00103034
13,362.182,4.92251,10.7476,1.15156,0.55689,0.43871,0.44814,0.23492,5.04061,9.33671,1.10395,0.00102301,0.00102301,0.00102301
14,388.695,4.89904,10.6235,1.13863,0.49645,0.42089,0.39764,0.21079,5.24349,9.91386,1.10373,0.00101568,0.00101568,0.00101568
15,416.655,4.92017,10.6047,1.13899,0.57178,0.45219,0.43794,0.24371,4.93544,9.85102,1.09469,0.00100834,0.00100834,0.00100834
16,443.361,4.85815,10.3099,1.13456,0.54306,0.4624,0.42207,0.22913,4.99943,9.97835,1.09112,0.00100101,0.00100101,0.00100101
17,471.993,4.80389,9.98246,1.12619,0.49375,0.47762,0.44305,0.24739,4.90205,8.89884,1.0786,0.000993678,0.000993678,0.000993678
18,498.918,4.81359,9.82978,1.12993,0.52591,0.46216,0.42385,0.24918,4.77843,8.95901,1.08054,0.000986346,0.000986346,0.000986346
19,526.317,4.74632,9.62186,1.11752,0.52669,0.47965,0.44294,0.25456,4.81189,8.79216,1.08016,0.000979013,0.000979013,0.000979013
20,554.072,4.73703,9.59862,1.12431,0.49836,0.4818,0.4447,0.24475,4.84859,8.97739,1.08684,0.000971681,0.000971681,0.000971681
21,581.477,4.72808,9.44364,1.11311,0.55182,0.46174,0.44211,0.24478,4.86993,9.19413,1.07765,0.000964348,0.000964348,0.000964348
22,608.3,4.77461,9.50009,1.11555,0.55559,0.47474,0.44993,0.25775,4.82391,8.96347,1.07371,0.000957015,0.000957015,0.000957015
23,636.279,4.7126,9.25851,1.10969,0.53533,0.4851,0.43135,0.25224,4.89233,9.39784,1.07801,0.000949683,0.000949683,0.000949683
24,662.94,4.6614,9.2207,1.11257,0.56576,0.47929,0.45072,0.25104,4.85126,8.86548,1.07402,0.00094235,0.00094235,0.00094235
25,690.443,4.68381,9.17521,1.11182,0.53043,0.48023,0.44469,0.23502,4.82242,9.23428,1.08282,0.000935018,0.000935018,0.000935018
26,717.297,4.66796,9.16998,1.10536,0.54326,0.47372,0.45032,0.2508,4.82818,9.00571,1.08941,0.000927685,0.000927685,0.000927685
27,743.931,4.65255,8.95228,1.10757,0.57166,0.47295,0.46123,0.24944,4.98372,9.08642,1.08279,0.000920352,0.000920352,0.000920352
28,770.64,4.63094,8.91718,1.10508,0.51525,0.48391,0.44919,0.25257,4.87602,9.28135,1.09016,0.00091302,0.00091302,0.00091302
29,797.364,4.68332,9.05359,1.09926,0.51384,0.49632,0.42734,0.2336,5.01414,9.3789,1.09459,0.000905687,0.000905687,0.000905687
30,825.117,4.6863,8.9225,1.09938,0.55943,0.46568,0.45731,0.25837,4.95731,9.55587,1.07137,0.000898355,0.000898355,0.000898355
